name,img,url,logo,category,description,Shop_Location,location,reviews,rating,nationalPhoneNumber,opening_hours
Harvestz Fashion,https://www.sunwaypyramid.com/static/shops/566bec20f290f6a18b8d6bce4d6059ac/w768-crop.jpg,https://www.sunwaypyramid.com/directory/harvestz-fashion,https://www.sunwaypyramid.com/static/shops/8b68c0143b980a326cbf65f89622e16d/w768.png,Fashion,Retailing of kids fashion.,LG1.PC055 (Lower Ground 1 Floor),"3, Jalan PJS 11/15, Bandar Sunway, 47500 Petaling Jaya, Selangor, Malaysia","review_rating:5, text:Very large. If I lived here, I would take a few months to even fully explore the place, much less try out all of the stores. Pretty fun, lots to eat and shop, so honestly it's worth living nearby. Food isn't very pricey so that's also a plus. | review_rating:4, text:As a frequent visitor, here’s my take on Sunway Pyramid:
•	Diverse Shopping: With a wide array of shops, it caters to all family members, from fashion to gadgets.
•	Family-Friendly Activities: The mall features an indoor ice-skating rink and a massive arcade that are perfect for kids and adults alike. My daughter loves to play at Parenthood. They have upgraded it too recently and we enjoyed it.
•	Food Haven: Offers an extensive selection of dining options from fast food to upscale restaurants. For Indian food you can try Mantra Restaurant (Not great but decent)
•	Convenient Layout: Despite its size, the mall is well-organized, making navigation easy.
•	Themed Decor: The Egyptian-inspired architecture adds a unique charm, making every visit memorable.

It is connected to Sunway Lagoon. | review_rating:5, text:Sunway Pyramid is truly a shopper’s paradise and a fantastic destination for entertainment, dining, and more. The mall is enormous, with a wide variety of stores ranging from luxury brands to affordable options. The unique Egyptian-themed architecture makes it stand out, creating a visually stunning experience as you explore. The food court offers an excellent selection of delicious cuisines, and there’s always something happening, from events to exciting attractions. The staff is friendly, and the facilities are well-maintained. A perfect place for a family outing or a day of shopping—highly recommend! | review_rating:5, text:Sunway Pyramid is truly a gem in the heart of the city! From the moment you step inside, you’re greeted with a vibrant atmosphere and an impressive array of shops, making it a perfect destination for shopping, dining, and entertainment. The mall is vast, with a wide variety of stores, from high-end fashion boutiques to trendy local brands, ensuring there’s something for everyone.

The design of the mall itself is stunning, with its iconic Egyptian-themed architecture adding a unique flair. The spacious layout makes it easy to navigate, and the many open areas and atriums offer a refreshing break from shopping.

What stands out the most is the variety of dining options. Whether you’re in the mood for casual bites or fine dining, Sunway Pyramid has it all. From international cuisines to local favorites, the food court and restaurants offer a delightful selection to suit any taste.

For entertainment, the options are just as diverse. Whether you’re catching the latest blockbuster at the cinema, having fun at the ice skating rink, or exploring the interactive attractions, there’s never a dull moment at this mall.

The staff are always friendly, and the overall experience is top-notch. Sunway Pyramid truly caters to every need, making it a perfect spot for family outings, friends’ gatherings, or solo trips. A place where shopping meets fun and excitement—highly recommend it! | review_rating:5, text:My visit to Sunway Pyramid was an incredible experience. This iconic shopping mall, with its distinctive pyramid-shaped exterior, offers a unique blend of shopping, dining, and entertainment. The vast array of stores includes both high-end brands and popular retail chains, catering to all tastes and budgets. The themed sections, like the Egyptian-inspired design, add an extra touch of excitement and novelty. We also had the chance to watch live ice hockey, which was an unexpected thrill! The mall is so large that we could only explore about a quarter of it in a day. The food court and various restaurants provide a diverse selection of cuisines. Whether you're shopping, dining, or enjoying the entertainment, Sunway Pyramid offers a vibrant and memorable experience 🛍️🍔🏰🏒",4.5,+60 3-7494 3100,"Monday: 10:00 AM – 10:00 PM, Tuesday: 10:00 AM – 10:00 PM, Wednesday: 10:00 AM – 10:00 PM, Thursday: 10:00 AM – 10:00 PM, Friday: 10:00 AM – 10:00 PM, Saturday: 10:00 AM – 10:00 PM, Sunday: 10:00 AM – 10:00 PM"
Harvey Norman,https://www.sunwaypyramid.com/static/shops/5b758a2192adcb3c16fe86b0082dcf1d/w768-crop.jpg,https://www.sunwaypyramid.com/directory/harvey-norman,https://www.sunwaypyramid.com/static/shops/93101c69d30409af3f52f1eed7e84e5a/w768.png,Home & Living,"Harvey Norman, from Australia, provides a wide range of Electrical, Computers, Furniture and Bedding products. Harvey Norman has predominant international presence with 264 stores in Australia, New Zealand, Ireland, Slovenia, Singapore and Malaysia. Harvey Norman stresses on 4-in-1 concept and carries a huge range from the latest home entertainment systems and computing technology, to most stylish and innovative home appliances as well as comprehensive range of Furniture and Bedding products. There are a total of 13 Harvey Norman Stores in Malaysia.",LG2.140 (Lower Ground 2 Floor),"LG2.140 Lower Ground Two, Sunway Pyramid Shopping Centre, 3, Jalan PJS 11/15, Bandar Sunway, 46150 Petaling Jaya, Selangor, Malaysia","review_rating:5, text:I had a fantastic experience at Harvey Norman in Sunway Pyramid. The service was professional and attentive from the moment I walked in. The staff was knowledgeable and ready to assist, making sure I found exactly what I needed. They carry a wide selection of high-quality electrical products like air conditioners, fridges, washing machines, ceiling fans, and much more. The quality and variety of options make this a great one-stop shop for home appliances. It’s definitely worthwhile to shop here during their promotions as you can get excellent deals on premium products. Highly recommended! | review_rating:4, text:Ever walk into Harvey Norman and get drawn straight to the tech section? They have everything from laptops and phones to vacuums, washing machines and TVs. But that's not all! Harvey Norman also boasts an impressive selection of cool furniture. Planning a bedroom makeover? You might find the perfect inspiration there.

Plus, the staff is helpful. Don’t hesitate to ask about any deals they might have going on—you could score a sweet price on your next tech gadget or furniture piece! | review_rating:1, text:Philips promoter name Prakash at this outlet is very rude. Never encounter such rude staff of Harvey Norman before. All Harvey Norman staffs are friendly except today. I was looking for air fryer, he came and I asked him which one is good. He just showed me the bigger one. Then i wanted to ask him about the smaller 4.2L one,  he just walked away thinking i was not interested. What a rude staff! I was not happy hence I went out and came in after my dinner thinking of getting the air fryer without dealing with him. I took the box and walked to the counter to pay. He came and grab the box away from me and gave the box to another staff. And he walked away! The lady staff was so nice and attended to me. OMG what’s wrong with him . Goodness | review_rating:5, text:⭐⭐⭐⭐⭐ Exceptional Service by Prakash Philips …

I had one of the best shopping experiences at Harvey Norman, all thanks to Prakash Philips! From the moment I walked in, he was attentive, friendly, and incredibly knowledgeable. He went above and beyond to guide me through every detail, ensuring I got the best home appliances suited to my needs and budget. His patience, professionalism, and deep product knowledge truly set him apart.

Prakash didn’t just sell products—he provided outstanding customer service, making the entire process smooth, enjoyable, and stress-free. His recommendations were spot-on, and he genuinely cared about helping me make the right choices rather than just making a sale.

Harvey Norman is lucky to have such a dedicated and passionate promoter. If you’re shopping there, I highly recommend looking for Prakash Philips—you won’t regret it | review_rating:5, text:I had the pleasure of interacting with Prakash Phillips and I was thoroughly impressed with his level of knowledge and professionalism. He took the time to explain everything in a clear and thorough manner, ensuring that I understood all the details. His expertise was evident, and he answered all my questions with confidence and clarity. It’s rare to find someone so well-informed and dedicated to providing excellent service. I truly appreciated his assistance and would highly recommend him to anyone seeking help",4,+60 3-5622 1300,"Monday: 10:00 AM – 10:00 PM, Tuesday: 10:00 AM – 10:00 PM, Wednesday: 10:00 AM – 10:00 PM, Thursday: 10:00 AM – 10:00 PM, Friday: 10:00 AM – 10:00 PM, Saturday: 10:00 AM – 10:00 PM, Sunday: 10:00 AM – 10:00 PM"
Havaianas,https://www.sunwaypyramid.com/static/shops/c034280139da699de0a784b8db746798/w768-crop.jpeg,https://www.sunwaypyramid.com/directory/havaianas,https://www.sunwaypyramid.com/static/shops/bbad913135a274f361970174e4c7dcba/w768.png,Footwear,"Everyday can feel like a holiday when you’ve got your pair of Havaianas on! Looking for flit flops and sandals but worried that it screams overly plan or laid-back? Trust us when we say that at Havaianas at Sunway Pyramid, you’ll find only the trendiest and comfortable pairs that look so great you’ll want to wear it everywhere. What was previously worn as an essential beachwear, has now become an icon of fun, fashion and casualness that will accompany you no matter how far your feet take you. With over 50 years of history in the footwear retailer industry, this Brazilian brand’s first pair was actually based on the traditional Japanese Zori sandals which use rice straw to create the soles. How the brand makes its flit flops and sandals iconic is by it trademark design, creating the texture of their rubber soles to appear like rice grains. Even before crossing international borders, the brand first gained recognition from foreign countries when tourists would love to them home as gifts, or even to sell in their home country. Havaianas’ footwear isn’t just iconic, it gives you top quality to match its reputation, claiming that their flit flops and sandals don’t lose their shape, don’t smell and their straps don’t come loose. Over the years, the brand has evolved and adapted with trends, which led to the birth of new footwear from them, including sneakers and espadrilles to cater to fans who live in countries with climates that require something warmer than flit flops. Translating the rubber flit flops into the soles of the sneaker showcases how the brand retains its symbolic feature into its latest creations. Havaianas constantly brings you fresh designs featuring eye-catching colours, fun prints, and even special collections (like their Frozen 2 range!). Priding themselves on footwear that is designed with comfort in mind, wearing their products will bring joy to your feet! The brand is also known for its sustainability efforts, donating part of its revenue to help preserve Brazilians forests, oceans, flora and fauna.",G1.97A (Ground Floor),"G1, 97A, 3, Jalan PJS 11/15, Bandar Sunway, 47500 Petaling Jaya, Selangor, Malaysia","review_rating:4, text:Good | review_rating:3, text:No Review",3.5,+60 12-577 0627,"Monday: 10:00 AM – 10:00 PM, Tuesday: 10:00 AM – 10:00 PM, Wednesday: 10:00 AM – 10:00 PM, Thursday: 10:00 AM – 10:00 PM, Friday: 10:00 AM – 10:00 PM, Saturday: 10:00 AM – 10:00 PM, Sunday: 10:00 AM – 10:00 PM"
HeLo Moo!,https://www.sunwaypyramid.com/static/shops/c6378d1b9d838476881595f01e94f13a/w768-crop.jpg,https://www.sunwaypyramid.com/directory/helo-moo,https://www.sunwaypyramid.com/static/shops/6888f5c4f8451635b53ddcbea4bfd98e/w768.png,Food & Beverages,"We’re not just about froyo; we’re about 100% Dairy Froyo, As It Was Always Meant to Be. 🍦❤️ Indulge in the creamy, dreamy goodness that’s real, fresh, and oh-so-delicious. 🌟
At HeLo Moo, we’re proud to serve The Realest Froyo Around!",LG2.72B (Lower Ground 2 Floor),"LG2.72B, Lower Ground 2, Sunway Pyramid Mall, Jalan PJS 11/15, Bandar Sunway, 47500 Petaling Jaya, Selangor, Malaysia",No Reviews,N/A,N/A,"Monday: 10:00 AM – 10:00 PM, Tuesday: 10:00 AM – 10:00 PM, Wednesday: 10:00 AM – 10:00 PM, Thursday: 10:00 AM – 10:00 PM, Friday: 10:00 AM – 10:00 PM, Saturday: 10:00 AM – 10:00 PM, Sunday: 10:00 AM – 10:00 PM"
Herschel,https://www.sunwaypyramid.com/static/shops/352383ef69eb40393b95adebf0245002/w768-crop.jpg,https://www.sunwaypyramid.com/directory/herschel,https://www.sunwaypyramid.com/static/shops/8114c309a37fcefd744494e68d65ec6f/w768.png,Bags & Leather Goods,"If you’ve ever hear someone say that backpacks aren’t in style, they’ve obviously never been to Herschel in Sunway Pyramid. Manufacturing hipster retro backpacks and accessories since 2009, Canadian brand Herschel quickly became renowned for its status as a hipster bag brand. Its range of products consists of backpacks, duffel bags, luggage, hats and other accessories. Targeted at the age group of 18 – 35 years old, the brand’s products are designed to evoke a sense of American nostalgia, with its iconic logo that gives off a vintage feeling, synthetic leather straps and even its brand name which is named after a small Canadian frontier village. The design of the bags is iconic and easily recognisable, available in different collections, such as the Classics collection designed for the everyday traveller, the Studio Collection which expresses a unique creativity in each design, the BWH collection made up of experimental designs, and the Kids collection which is down-sized for children and youths. Men and women can opt for different types of bags depending on their occasion and style preference, such as backpacks, duffles, messenger bags, hip packs, totes and crossbodies. Their range of apparel includes rainwear, windbreakers, fleeced, insulated attire, jackets, tees, long sleeves, crewnecks, hoodies, shorts and pants. Complete your look with their line of accessories, comprising of headwear, wallets, laptop sleeves, travel accessories, and pouches. If you’re ready for an adventure, a durable and fashionable luggage is an absolute must-have! Check out their selection of hard-shell and soft-shell luggage, carry-on luggage and check-in luggage, to find that perfect travel companion that’ll keep your belongings, plus have extra room to store your purchases! The brand even has a range of travel accessories such as passport holders, umbrellas, luggage belt, luggage scale, travel organisers and adapters laundry bags, toiletry bag, and shoe bag. Travelling with a little one? Worry not, Herschel even supplies products you need for your baby on a trip, such as beanies and changing mats! They’ve got you covered for the entire trip!",F1.81B (First Floor),"F1.81B, FIRST FLOOR, Sunway Pyramid, SHOPPING MALL, 3, Jalan PJS 11/15, Bandar Sunway, 46150 Petaling Jaya, Selangor, Malaysia","review_rating:5, text:Always walked out with a bag or two whenever I dropped in. Love this shop, always have what I love or need.
Great place to shop for fancy travel backpacks or travel kits. | review_rating:1, text:Went their twice , the staff is very unwelcoming  dnt even attend just being sitting at their place all the time.
Like that better i buy online instead of going to shop cz same experience self service. | review_rating:5, text:Need a cute bag? This shop got your back! always provides a good range of collections & prices 🏷️ | review_rating:5, text:Great store to visit. Always has nice and good collections of bag 👍🏼👍🏼 | review_rating:5, text:One of the best and reliable brand! I really love herschel bags and other stuff.",4.7,N/A,"Monday: 10:00 AM – 10:00 PM, Tuesday: 10:00 AM – 10:00 PM, Wednesday: 10:00 AM – 10:00 PM, Thursday: 10:00 AM – 10:00 PM, Friday: 10:00 AM – 10:00 PM, Saturday: 10:00 AM – 10:00 PM, Sunday: 10:00 AM – 10:00 PM"
Hi Style,https://www.sunwaypyramid.com/static/shops/ffa7e7bba76466bdbe9cf5c22a3c1b78/w768-crop.jpg,https://www.sunwaypyramid.com/directory/hi-style,https://www.sunwaypyramid.com/static/shops/f3dacfdb873cb2d0305bbff79cb5b100/w768.png,Asian Avenue,"HISTYLE seeks to be the leading brand of quality lifestyle offering stylish, fashion and affordable garments.",F1.AV.11 (First Floor),"F1.AV.11, 3, Jalan PJS 11/15, Bandar Sunway, 47500 Petaling Jaya, Selangor, Malaysia","review_rating:5, text:I like this place a lot. Many choices of clothes. I like two staff there. They wear 'I Am New' tag around their neck. Got blonde hair too very stylish. They should get promoted! | review_rating:5, text:love the quality of clothes
staffs are great
affordable price | review_rating:5, text:Slimfit pants for thin ppl...👍👍👍 | review_rating:4, text:Affordable shirt and pants here. | review_rating:5, text:Hi style",4.6,+60 3-5886 9907,"Monday: 10:00 AM – 10:00 PM, Tuesday: 10:00 AM – 10:00 PM, Wednesday: 10:00 AM – 10:00 PM, Thursday: 10:00 AM – 10:00 PM, Friday: 10:00 AM – 10:00 PM, Saturday: 10:00 AM – 10:00 PM, Sunday: 10:00 AM – 10:00 PM"
High Cultured,https://www.sunwaypyramid.com/static/shops/65728dda8bb5606dc682e4bc32375e3e/w768-crop.jpeg,https://www.sunwaypyramid.com/directory/high-cultured,https://www.sunwaypyramid.com/static/shops/d70346bb1983d405f70cf503e946d921/w768.png,Asian Avenue,Retailing of unisex fashion apparels and related accessories.,F1.AV.05 (First Floor),"F1.AV.05, 3, Jalan PJS 11/15, Bandar Sunway, 47500 Petaling Jaya, Selangor, Malaysia","review_rating:1, text:Today around 3pm had a Horrible experience from Staff working there, racist staff discriminating customers. Lady working there with a male giving me awful stares. Woman staff Whispering to the other male working while staring at me. Really gives off a bad impression. Lady staff kept making noises as if she was annoyed at me being there. If you don’t want me to shop there then let it be. Never entering the store again. Will tell all my friends about this experience… Would never recommend to anyone… | review_rating:1, text:Customer service really bad was at there at 3:11pm and guy at front of shop who was supoosed to help me was looking at me weirdly as if i was broke and not able to purchase the product. He didn't help me at first and when he did he made sounds and showed weird facial expression. When i tried on the pants i bought and didn't want a few the staff who was a woman showed annoyed facial expression and talked shit about me to her colleague. Only one staff there was ok enough to help me he was the cashier at my checkout. Bad staff and customer service. | review_rating:5, text:Kean has passion to serve customers, he is very attentive and served customer with excellent service | review_rating:1, text:Worst experienced ever in High Cultured's branch. The brand is veryy good. But the staff in this branch is very very very bad. Not only the service, but also the attitude. Both staff are not helpful, not welcoming the customers, answer question/asking size with very bad face. Overall not recommended to come to this branch for this bad service! Better go to another branch with better service. Hope the manager will take action to both staff. One of them, named Hairil. 👎🏻 | review_rating:5, text:Despite all the bad reviews, I had a very positive experience shopping here. I was served by Eka, and she was very attentive to the customer’s needs and friendly.",3.5,+60 3-5612 2078,"Monday: 10:00 AM – 10:00 PM, Tuesday: 10:00 AM – 10:00 PM, Wednesday: 10:00 AM – 10:00 PM, Thursday: 10:00 AM – 10:00 PM, Friday: 10:00 AM – 10:00 PM, Saturday: 10:00 AM – 10:00 PM, Sunday: 10:00 AM – 10:00 PM"
Himalaya,https://www.sunwaypyramid.com/static/shops/f4d032e152bc0062d4424944f5fc4f5d/w768-crop.jpg,https://www.sunwaypyramid.com/directory/himalaya,https://www.sunwaypyramid.com/static/shops/3d87b3fb6b9aac65022ab29e125bd156/w768.png,Health & Wellness,"The Himalaya Drug Company was founded in 1930 by Mr. M.Manal with a clear vision to bring Ayurveda to society in a contemporary form and to unravel the mystery behind the 5,000-year-old system of medicine. In the years that followed, the brand has introduced many other iconic brands which have become household names.
Today, Himalaya's portfolios include Pharmaceuticals, Personal Care, Baby Care, Wellness, and Animal Health. Himalaya brand is synonymous with safe and efficacious herbal products. We operate in over 100countries, our products are prescribed by 400,000 doctors worldwide, and millions of customers trust us for their health and personal care needs.
Here in Malaysia, Himalaya is owned and operated by Embun Elit Sdn Bhd. With more than 200 products available in the local market. Always remember Himalaya with our tagline ""Wellness in Every Household, Happiness in Every Heart"".
For more information on Himalaya Malaysia, visit: www.shophimalaya.my",LG2.K10 (Lower Ground 2 Floor),"Lot LG2-76, Lower Ground 2, Sunway Pyramid Shopping Mall, No 3, Jalan PJS 11/15, Bandar Sunway, 46150 Petaling Jaya, Selangor, Malaysia","review_rating:1, text:Shop left unattended. Just a small notice 10 minit pray | review_rating:5, text:Very good. Found the himalaya shop that i need at sunway pyramid. Price is very reasonable alot of promotion. | review_rating:5, text:Friendly staff...good product..once try off course want to repeat. Recommended 👍. | review_rating:5, text:Best product and very friendly staffs as well.. | review_rating:5, text:Good products for speed money",4,+60 10-208 2978,"Monday: 10:00 AM – 10:00 PM, Tuesday: 10:00 AM – 10:00 PM, Wednesday: 10:00 AM – 10:00 PM, Thursday: 10:00 AM – 10:00 PM, Friday: 10:00 AM – 10:00 PM, Saturday: 10:00 AM – 10:00 PM, Sunday: 10:00 AM – 10:00 PM"
Hokkaido Baked Cheese Tart,https://www.sunwaypyramid.com/static/shops/27396a045d486856764cbf196171cb81/w768-crop.jpg,https://www.sunwaypyramid.com/directory/hokkaido-baked-cheese-tart,https://www.sunwaypyramid.com/static/shops/cdc06a1f844587c40041c930acd8e63b/w768.png,Asian Avenue,"Hokkaido Baked Cheese Tart has been immensely popular since its launched in 2016, with legions of fans stand in line to get their hands on the cheesylicious tarts. The soft and creamy centre is made with a blend of three high-quality specialty cheeses; piped into a crunchy short-crust pastry base. It tastes best when it's piping hot and fresh from the oven, it can also be eaten chilled, frozen, or at room temperature for a smooth and creamy experience.",F1.AV.11A (First Floor),"3, Jalan PJS 11/15, Bandar Sunway, 47500 Petaling Jaya, Selangor, Malaysia","review_rating:1, text:I came to this store on January 2 at 4:30 PM. There was a lady handling the shop, and I bought something from her. When we asked her about the location of the shop, she gave us an unpleasant look and responded with an attitude as if she didn’t want to entertain us. The customer service was really disappointing. A simple question shouldn’t be met with such an attitude. | review_rating:1, text:What type of quality is this , you are real outlet , not merged with other bakery. Heavily burnt egg tarts can still be sold? The staff of this shop rude to customers not only me.I didnot expect too high for the food quality because sometimes have small mistake can be accepted but you on service line at least be polite to you customer. | review_rating:1, text:They displayed durian tarts with crème brûlée label. We asked for a crepe brûlée tart and at register they said it was durian so we asked to give us crème brûlée and staff said no because they have already entered durian in the system. They were both same price and it was their problem anyway putting wrong label on products. | review_rating:5, text:love the creamy texture inside and crispy outside, and the aroma of this tart is literally salivating! | review_rating:5, text:Bro be sure taking a long poo because it's been almost 30mins and no body is here. Only got one person taking care of the outlet ah?

Edit: They went to buy food for their sahur so all it's forgiven.

Staff was very friendly and nice.",3,+60 3-5033 2608,"Monday: 10:00 AM – 10:00 PM, Tuesday: 10:00 AM – 10:00 PM, Wednesday: 10:00 AM – 10:00 PM, Thursday: 10:00 AM – 10:00 PM, Friday: 10:00 AM – 10:00 PM, Saturday: 10:00 AM – 10:00 PM, Sunday: 10:00 AM – 10:00 PM"
Hollie Mollie,https://www.sunwaypyramid.com/static/shops/2e72a17d58621730ee95f4fe6cb33905/w768-crop.jpg,https://www.sunwaypyramid.com/directory/hollie-mollie,https://www.sunwaypyramid.com/static/shops/3aba2f5b24d23a9cdc87209b5939a36f/w768.png,Asian Avenue,"Retailing of 20% handbags, 70% ladies footwear and 10% related accessories.",F1.AV.20 & F1.AV.68 (First Floor),"Malaysia, Selangor, Petaling Jaya, Bandar Sunway, Lot No.F1.AV. 20&68, First Floor郵區編號: 46150","review_rating:5, text:No Review",5,+60 3-5611 1134,"Monday: 10:00 AM – 10:00 PM, Tuesday: 10:00 AM – 10:00 PM, Wednesday: 10:00 AM – 10:00 PM, Thursday: 10:00 AM – 10:00 PM, Friday: 10:00 AM – 10:00 PM, Saturday: 10:00 AM – 10:00 PM, Sunday: 10:00 AM – 10:00 PM"
Home's Harmony,https://www.sunwaypyramid.com/static/shops/9d07d292a0af48808a9fa94acf20ba01/w768-crop.jpg,https://www.sunwaypyramid.com/directory/homes-harmony,https://www.sunwaypyramid.com/static/shops/8e8f067bcae0a08f480d819715490a93/w768.png,Home & Living,"HOME'S HARMONY is a retail specialty chain store offering a ""TOTAL RANGE' one-stop household furnishing experience.)",LG2.23 (Lower Ground 2 Floor),"LG2.23-2.25, 3, Jalan PJS 11/15, Bandar Sunway, 46150 Petaling Jaya, Selangor, Malaysia","review_rating:4, text:Home's Harmony @ Sunway Pyramid
This store has a well-organized layout with neatly arranged products, making it easy to browse. It offers bedding accessories, bed sheets and towels. You might even come across some cute soft toys while exploring! | review_rating:5, text:Best sangatttt!!!! Nampak ada soft toys,  ended up bought bedding necessities. Staff friendly and helpful. | review_rating:1, text:One of a ""female"" employee serves customers like turn up one's nose, company should send him to training class to learn better attitude. | review_rating:1, text:Paid rm500+ after discount for tencel bed sheet but the quality is so bad. Starts to fluffed after using a week. Complained to the staffs there and asked me to go daiso and fix myself. Highly not recommended! | review_rating:5, text:Very friendly and helpful employees! I was looking for bed related items and bought everything here. Unfortunately, my landlord told me the wrong size of my bed, so I bought everything queen sized. Luckilly the employees were so kind to arrange that I could return and change everything the same day. Great service and good prices!",4.1,+60 3-5621 9909,"Monday: 10:00 AM – 10:00 PM, Tuesday: 10:00 AM – 10:00 PM, Wednesday: 10:00 AM – 10:00 PM, Thursday: 10:00 AM – 10:00 PM, Friday: 10:00 AM – 10:00 PM, Saturday: 10:00 AM – 10:00 PM, Sunday: 10:00 AM – 10:00 PM"
Honey Bibi,https://www.sunwaypyramid.com/static/shops/f9b5ef1bd3ce07488c2d3136a38e555b/w768-crop.jpg,https://www.sunwaypyramid.com/directory/honey-bibi,https://www.sunwaypyramid.com/static/shops/2bc23dc6a584c75eee5d368dff508f2f/w768.png,Asian Avenue,Retailing of fashion apparel,F1.AV.15 (First Floor),"Bandar Sunway, 47500 Subang Jaya, Selangor, Malaysia","review_rating:1, text:This is the first time I felt so mad, what attitude is this, my friend and I took a white dress and wanted to try, when we went to the fitting room, the staff just stand inside the fitting room hiding behind the curtain stare at you weirdly without saying anything, when they finally walk away, and we wanted to get in, there isn’t anyone wanted to serve us, it’s ok, but they didn’t talk to us that we can’t try white color clothes, instead one of the staff madly doing her stuff and point at the sign that mentioned white clothes are not allowed to try. I understand about their concern but I really don’t understand their attitude. | review_rating:1, text:It would be great if we can review without giving any star. From all the reviews I read about this store on their customer service , all are very bad. Same here , just bought a white long skirt for my daughter. Before that, we found other colours available but not white . We spotted the same piece in white but was on the mannequin so we politely asked if we could get that ? There are 2 female staff (one taller and slimmer whereas the other one is on the chubby side ). The slimmer staff threw us a weird look when we asked for the piece on the mannequin  and she did not answer us immediately but informed her colleague about our request and after that the slimmer staff came back to  us and rudely told us ‘white one cannot try’. I said OK..  both staff are not friendly and they looked as if they have never been trained to serve customer and don’t know the right way to even communicate. Very bad for the shop cos after so many bad reviews , it seems owner of the business has done nothing to improve. | review_rating:1, text:Staff ：Make sure you try already will buy
So pity the boss got like this staff. No next visit. | review_rating:1, text:Poor service and staff are rude, asking them for the size and their face like want you to leave quickly. Ask what also don’t know don’t know, don’t want to do business at all | review_rating:1, text:This is probably the worst store I have ever visited. The display item didn’t have S size, so I went to the counter and ask them for S size, and they told me I can’t try white clothes, which I’m not going to try it on. After that one of the worker gave me S size but there was some make up stain on the skirt so I went again and ask them if they could exchange another one for me, they told me so rudely again that I can’t try on, I said I’m not going to. It’s just the skirt is dirty, which I would want another one. Then they just ask me so rudely whether I want to buy or not. Omg I feel so criticised by their words. and they didn’t even say sorry to me. PLEASE DON’T EVER VISIT THIS STORE.",1.6,N/A,"Monday: 10:00 AM – 10:00 PM, Tuesday: 10:00 AM – 10:00 PM, Wednesday: 10:00 AM – 10:00 PM, Thursday: 10:00 AM – 10:00 PM, Friday: 10:00 AM – 10:00 PM, Saturday: 10:00 AM – 10:00 PM, Sunday: 10:00 AM – 10:00 PM"
Hong Kong Kim Gary,https://www.sunwaypyramid.com/static/shops/8dae046d4874ca6df998e658d479b9f6/w768-crop.jpg,https://www.sunwaypyramid.com/directory/hong-kong-kim-gary,https://www.sunwaypyramid.com/static/shops/099f86a6570eb9dbda8c9ac4c91d1b11/w768.png,Food & Beverages,"Retailing of Hong Kong style food and beverages.
Business Hours: 10am-11.30pm",OB2.G.U3 (Ground Floor),"OB2-G-U3, Ground Floor, Oasis Boulevard 2 Sunway Pyramid Shopping Centre, No.3, Jalan PJS 11/15, Bandar Sunway, 46100 Petaling Jaya, Selangor, Malaysia","review_rating:4, text:They offer a real thick menu with so many options that it took us a while to decide what to order😂. But it was worth the time— the food was great and definitely worth its value. The staff were attentive and friendly 👍🏻👍🏻 Waiting time slightly long (30mins) as it  was super packed on weekend.

The only downside was the presence of a lot of flies inside, made the place look a bit unhygienic. Hopefully, this can be addressed soon. | review_rating:4, text:The food here not bad. Just hardly get to see the menu via online.
sharing these photo on the menu food that I love to eat 😋 | review_rating:5, text:Food quality is not bad altho the price is abit high. Service is fast and food is served fast too | review_rating:4, text:Soup is tasty. But cheese baked rice is not as tasty as it was at many years ago.
Hot charm is very nice.

Comfortable and wide environment.
Got indoor and outdoor seating. | review_rating:4, text:Menu& price: Wide range of Hong Kong style food options provided to different dietary group with inclusion of vegetarian on separate menu. You still can find vegetarian Borscht soup here. Kudos to Kim Gary. Could explore further by providing more neutral vegetable ingredients on vegetarian dishes than mock meet. Reasonable price range for set around RM20-25

Food& service: Fast serving and using electronic order with paper menu which is easier to see. Well known for their cheese baked rice with pork rib, Yin Yong tea, Borscht soup. Overall taste good. Their vegetarian curry is sufficient.

Wheelchair accessible to restaurant.

Recommended place if you dine in with vegetarian friends / family together.",3.7,+60 3-7494 0408,"Monday: 10:00 AM – 10:00 PM, Tuesday: 10:00 AM – 10:00 PM, Wednesday: 10:00 AM – 10:00 PM, Thursday: 10:00 AM – 10:00 PM, Friday: 10:00 AM – 10:00 PM, Saturday: 10:00 AM – 10:00 PM, Sunday: 10:00 AM – 10:00 PM"
