,name,ratings,displayNam,phone_numbers,nationalPhoneNumber,opening_hours_list,category,formattedAddress
79,Call It Spring,"(1⭐) Very bad quality, and they won’t replace my faulty shoes. - 10 months ago | (5⭐) Good place for shopping - a year ago | (1⭐) تجربتي السابقة مع العلامة التجارية جميلة جدا، والجودة بطلة، لكن اليوم الموظفة رفضت تطلع لي القطع اللي أعجبتني في البداية قالت هذي اخر قطع وثم قالت هذي مقاسات صغيرة فقط وتتكلم من طرف خشمها 👎 - a year ago | (5⭐) الخامات ممتازه و جميله لكن الاسعار مرتفعه - 10 months ago | (5⭐) No Review - 10 months ago",Call It Spring,+966 800 304 5444,800 304 5444,"Monday: 9:00 AM – 9:00 PM, Tuesday: 9:00 AM – 9:00 PM, Wednesday: 9:00 AM – 9:00 PM, Thursday: 9:00 AM – 9:00 PM, Friday: 9:00 AM – 9:00 PM, Saturday: 9:00 AM – 9:00 PM, Sunday: 9:00 AM – 9:00 PM",shoe_store,"مخرج 14, Eastern Ring Branch Rd, Ar Rabwah, Riyadh 12839, Saudi Arabia"
80,Sinmar,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
81,شارنغا,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
82,إلين للعطور,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
83,DDR لذة المأكل الربوة,"(5⭐) بصراحه أجمل مطعم واأجمل خدمه واستقبال واحلى ضيافه الف شكرا لكم المكان شرح ومرتب ونظيف
والاكل ولاغلطه
الرز مندي والدجاج على الحطب مره لذيذ 10/10
السلطه 10/10
سلطه الخيار 10/10
الكريمه 10/10
الكنافه 10/10
الخدمه 10/10
الطعم 10/10
الاسعار 10/10
الشاهي 10/10 - a month ago | (5⭐) طلبت عن طريق احد تطبيقات التوصيل
كان عبارة عن :
- دجاج الحطب المدخن
- سلطة خضراء

الاكل لذيذ ونظيف كأنه شغل بيت، ملاحظتي الوحيدة على السلطة مكتوب انها خضراء وفعليا كلها جزر اكثر من الخيار والطماطم.
بشكل عام التجربة حلوة ولذيذة وتتكرر ان شاءالله. - a month ago | (5⭐) راقي جدًا، من أفضل تجاربي!
كان الطعام أكثر من رائع الدجاج و اللحم و الجريش.
تعامل الموظفين اسطوري، وأخص بذلك الشيف معمّر أكرمنا و قدّملنا أجود شكل من أشكال الضيافة و الإحترام.
شكرًا من القلب. - 2 months ago | (5⭐) متميز في كل شيء ..
تعامل العاملين راقي جداً و خاصه المحاسب ذوق و تعامله راقي
النظافه 10/10
الوجبات لذيذه و مميزه بس الاسعار شوي مرتفعه - 2 months ago | (5⭐) الذ مطعم في المدخن والاكل السعودي في الرياض ستستمتع في الطعم - 2 months ago",DDR لذة المأكل الربوة,N/A,N/A,N/A,butcher_shop,"MQMG+38W, Ar Rabwah, Riyadh 12839, Saudi Arabia"
84,YKHB,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
85,Kitchen bazaar,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
86,الدو,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
87,Al Hajis Perfumes Riyadh,(1⭐) للأسف أسوء تجربة وتمت أهانتي بالمحل من قبل البائعة مريم ومديرة المحل (أطلع بره) ولم يتم منحني فاتورة من قبل المحل بحجة السيستم واقع وعند طلب الاسترجاع لأن المنتج غالي بنظريه بالسوق تم الرفض بحكم أن المدة انتهت ومافي استبدال أيضا وحتى الآن لم أمنح فاتورة. - 2 months ago | (1⭐) العروض وهمية للعطورسعرالعطر  أغلى من سعره في السوق بعد العرض كما أن معاملة البائعات للزبائن سيئة للغاية. - 2 months ago | (1⭐) التعامل سيئ والبائعات غير محترمات بالمره والاسعار غاليه عندهم مقارنة بالمحلات الاخرى - 2 months ago | (1⭐) الرقم ما يرد للأسف - 2 months ago | (5⭐) No Review - 4 months ago,Al Hajis Perfumes Riyadh,+966 54 865 1675,054 865 1675,"Monday: 10:00 AM – 11:00 PM, Tuesday: 10:00 AM – 11:00 PM, Wednesday: 10:00 AM – 11:00 PM, Thursday: 10:00 AM – 12:00 AM, Friday: 2:00 PM – 12:00 AM, Saturday: 10:00 AM – 11:00 PM, Sunday: 10:00 AM – 11:00 PM",clothing_store,"Eastern Ring Rd, Ar Rabwah, Riyadh 12839, Saudi Arabia"
88,مونسون,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
89,Naturalizer ناتشيراليزر,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
90,بفرلي هيلس بولو كلوب,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
91,شالك,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
92,مؤسسة دام الرياض,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
93,Action Gate,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
94,Kunooz,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
95,واحة كتان,"(5⭐) تتميز هذه الواحه بتوفير ازياء انيقه ساتره
و بأكمام طويله غالباً ..
و موديلات متجدده والوان زاهيه
وخامه جيده واسعار مناسبه للجميع
التعامل راقي جداً يشكرون عليه ⭐ - 2 years ago | (1⭐) شريت ملابس وكنت محاسبة شبكة ومن بكرا رجعتها قالوا لي نرجع لك الفلوس بالحساب خلال 3ايام بالكثير اليوم لي اسبوع وزيادة مارجع شي ومايردون على التلفون - 3 years ago | (5⭐) خامات التنانير ممتازة والموظقة أكثر من رائعة - 3 years ago | (1⭐) No Review - a year ago | (5⭐) No Review - 2 years ago",واحة كتان,+966 11 445 6670,011 445 6670,"Monday: 4:00 – 10:30 PM, Tuesday: 4:00 – 10:30 PM, Wednesday: 4:00 – 10:30 PM, Thursday: 4:00 – 10:30 PM, Friday: 4:00 – 10:30 PM, Saturday: 4:00 – 10:30 PM, Sunday: 4:00 – 10:30 PM",clothing_store,"العثيم مول, Eastern Ring Rd, Ar Rabwah, Riyadh 12211, Saudi Arabia"
96,صراف البلاد,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
97,تالي وايل,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
98,جلز,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
99,كارينو,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
100,قصة للعطور | Gissah Perfumes,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
101,الفهد للساعات,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
102,سندة الخليج,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
103,Subway,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
104,مصرف الإنماء,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
105,خيرات الطبيعة,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
106,Riyad Bank ATM,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
107,كوريا 2358,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
108,BLACK WING,"(5⭐) متجر للملابس والفساتين النسائية
جميل والملابس فاخرة وجميلة وموديلات متنوعة وحديثة
والاسعار  معقولة خيارت كثيرة ومتنوعة تناسب جميع الفئات وخامات جيدة وراقية
انصح لمن تبحث عن جلابيات او فساتين سهرة  تجد عندهم - 9 months ago | (5⭐) براند جميل والاقمشه المستخدمه حبيتها جدا والفرع الي بالعثيم مول الموظفه لبقه اتوقع اسمها رازان اخذت عبايتين وعدلت وحده حطيت جيوب وكل من شافني وانا لابسته عجبهم🌹❤️ - 4 months ago | (5⭐) اليوم زرت المحل وماشاء الله البضاعة متنوعة وجميلة. وفيه الاخت رزان اشكرها ع حسن التعامل والذوق الجميل والخمس نجوم عشان رزان - 5 months ago | (5⭐) متنوع وجميل فيه عبايات السفر وجاكيتات جداً جميلة 👍🏻 - 3 months ago | (5⭐) تعامل الموظفة رزان كويس ما شاء الله وراقي جدًا
و القطع ما شاء الله فوق التصور و الجمال ♥️♥️♥️♥️♥️. - 5 months ago",BLACK WING,+966 54 670 7499,054 670 7499,"Monday: 9:30 AM – 11:00 PM, Tuesday: 9:30 AM – 11:00 PM, Wednesday: 9:30 AM – 11:00 PM, Thursday: 9:30 AM – 11:00 PM, Friday: 4:00 – 11:00 PM, Saturday: 9:30 AM – 11:00 PM, Sunday: 9:30 AM – 11:00 PM",clothing_store,"Eastern Ring Branch Rd, حي الربوة، Riyadh 12813, Saudi Arabia"
109,مسارات الخط الاسود عبايات,"(1⭐) شريت منهم عبايات وتحتاج تعديل قالت تعالي بكره وجيت وضربت مشوار ويوم جيت عطتني العبايات بدون تعديل ! اقول مو معدله تقول الا وخط التعديل واضح مكانه سبحان الله قالت صح ما تعدلت تعالي بكره وجيت اليوم الثالث ولا عدلت الا الطول قالت خلاص طقطق عادي اخيطه لك انا يدوي 😀 عجيب
وتتاكد من الطرح اكيد ما عطيناك ؟! يعني دافعه في ثلاث عبايات بحتاج طرحتك !! عشان تشككين
وهاتك نص ساعه وتعالي وقعدت ساعه وعليها ورجعت الا هي تبيع لزباين وعبايتي زي ماهي
اول تعامل واخر تعامل اكيد كتبت عشان محد يتورط - 5 months ago | (5⭐) فصلت عندهم عبايه ما شاء الله كانت رائعه والقماش رائع  مثل ما طلبت اسعدوني جدا
انصح في التعامل معهم - 2 months ago | (1⭐) سيء صراحه رحت للفرع اللي فرع خريص كان وحده اسمها يسرى سيئة اخلاق وبجييييحه  وخذيت منهم عبايه تحوم الكبد القماش قسم بالله ماشفت قماش مثل جودته السيئه تعاملهم كله حتى اللي يعدل على العبايه بطيء وبااااااااارد وتعديله فاشل زيه والله ثم والله ندمت اخذت منهم - 2 months ago | (1⭐) يحتاجون الموظفين والموظفات كلهم لهذه المحل دورة تدريب في طريقة التعامل مع الزبون مش معقوله كمية الهمجيه اللي فيهم  والبجاحه وبطريقة الكلام مع الزبون  بقلة ذوق ورفع الصوت عليه ومافي احترام ابداً وقاحه جداً وكأن الزبون عدو  لهم  ويكلمونه  بفوقيه ،، حلّو مشاكلكم بينكم  لاتطلعونها على الزبون ،، الزبون له احترامه عن نفسي والله والله آخر تعامل معهم مستحيل اكرر التجربه محل فاشل الصراحه 👎🏻 - 2 years ago | (5⭐) احتاج رقم العامل بليز عطيته عبايتي علشان مقاس ورجع عبايتي وبالكيس اغراضه بليززز ساعدوني انا موب بالرياض حالياً هذي امانه لازم ترجع بليزززز - 2 years ago",مسارات الخط الاسود عبايات,N/A,N/A,"Monday: 9:00 AM – 11:00 PM, Tuesday: 9:00 AM – 11:00 PM, Wednesday: 9:00 AM – 11:00 PM, Thursday: 9:00 AM – 11:00 PM, Friday: 4:00 – 11:00 PM, Saturday: 9:00 AM – 11:00 PM, Sunday: 9:00 AM – 11:00 PM",clothing_store,"MQPF+4RJ, Ar Rabwah, Riyadh 12839, Saudi Arabia"
110,ل'دووه العثيم مول,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
111,Ardene,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
112,البيت التركي,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
113,Lifestyle,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
114,adidas Store,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
115,فكتوريا سيكريت,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
116,La Beaute,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
117,Q4,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
118,khafif,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
119,هبة للعبايات,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
120,ناشيونال تاتش,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
121,بينوش | Binoche,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
122,Shoe Mart (Centrepoint Stores),(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
123,Splash,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
124,بول اند بير,"(5⭐) Good branch, it’s big and the men collection are amazing. The jackets and sweaters quality is excellent. - 5 months ago | (1⭐) غرف القياس 5 غرف وفقط فاتحين وحده وساعه انتظر الزبونة تطلع ! والستف الموجود اقولهم افتحوا الغرف الثانيه يقولون فيها بضاعة يعني مستخدمين الغرف للتخزين - 2 months ago | (5⭐) الصراحه تعامل الموظفين راقي و اخص بالذكر الموظفه عائشه على تعاونها و رحابة صدرها 🤍🤍🤍 - 3 months ago | (5⭐) الموظفه عائشه موظفه مخلصه واستقبال طيب وتعامل ممتاز - a month ago | (1⭐) محل لايحترم الزبون كأنك جالس في حفلة غنائية الناس جايه تتسوق والله اني تركت المحل وكنت ناوي اشتري منه مدري ليش الاغاني - 2 years ago",بول اند بير,N/A,N/A,N/A,clothing_store,"15 الطريق الدائري الشرقي، الربوة، الرياض 12839،، Ar Rabwah, Riyadh 12839, Saudi Arabia"
125,Croff,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
126,Alhomaidhi Watches,"(5⭐) Best quality watches of all brands coming from many different countries around the world! Just take the Granada Mall entrance near Dr Cafe and you can find this store on your left side! - 6 years ago | (5⭐) I have now bought three watches from this store. Always excellent quality and great value, I can highly recommend Mr. Abuelaah Musaid for always being fair, polite and friendly. - 6 years ago | (3⭐) Good offers and a good variety of jewellery - 9 months ago | (5⭐) Best place to buy watches, great service - 4 years ago | (4⭐) Here you can change watches battery. - 6 years ago",Alhomaidhi Watches,+966 59 421 5416,059 421 5416,"Monday: 3:30 – 11:00 PM, Tuesday: 3:30 – 11:00 PM, Wednesday: 3:30 – 11:00 PM, Thursday: 3:30 – 11:00 PM, Friday: 3:30 – 11:00 PM, Saturday: 3:30 – 11:00 PM, Sunday: 3:30 – 11:00 PM",store,"مول, الدور الارضي، Eastern Ring Rd, Ghirnatah, Riyadh 13241, Saudi Arabia"
127,NYX Professional Makeup,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
128,BOX & Ribbon,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
129,ابراهيم القرشي للعطور | Ibrahim AlQurashi,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
130,Cold Stone,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
131,رينا,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
132,The K-PHOTO,"(5⭐) super cute photos w lots of props and customizable options !! - 2 months ago | (5⭐) I have always loved the K-photo! It gives me such a 90s vibe + Kpop Memories back on a modern time. I would totally recommend for groupies and for those who love aesthetic and instagramable print-out photos. - 5 months ago | (5⭐) I was there 3 days ago I had so much fun with my friends 😄 come to this place with your friends or family and experience the joy that it brings in this place. Come!!! visit the K- Photo 🥰😄😊💖 - a month ago | (5⭐) This was my first time ever doing a kphotoshoot with friends and it was the best time well spent. I hope to come back again 💚🇸🇦💚🇸🇦💚🇸🇦💚 - 2 months ago | (5⭐) I usually never like taking photos, but this was a really fun experience and I really recommend coming here 💯 - 2 months ago",The K-PHOTO,N/A,N/A,"Monday: 2:00 – 11:00 PM, Tuesday: 2:00 – 11:00 PM, Wednesday: 2:00 – 11:00 PM, Thursday: 2:00 – 11:00 PM, Friday: 2:30 PM – 12:00 AM, Saturday: 2:00 – 11:00 PM, Sunday: 2:00 – 11:00 PM",store,"MQPF+GWP, Ar Rabwah, Riyadh 12839, Saudi Arabia"
133,صيدلية الدواء,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
134,ناتشورال تاتش - Natural Touch,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
135,سيزون للاكسسوارات _ العثيم مول - النسيم,"(5⭐) مره اشكرّ الموظفات وجدان وشادن عسللللل
عسلللل خدمة واخلاق ورحابة صدرّ رغم قروشناهم انا وصحباتي بس كانو صابرييييين شكراً لكم يا احلى موظفات🤍 - in the last week | (5⭐) اشكر الموظفه نوف يحيى ، ماشاءالله تبارك الله ياسعدكم فيها ياسيزون عسسسسل عز الله كسبتنا زباين ربي يحفظها
وعقبال ماتترقى بااعلى المراتب دنيا وآخره يارب.. - 5 months ago | (1⭐) اذا في اقل من نجمه عطيت الموظف رفض الاستبدال او حتى الاسترجاع (اخر زياره له) - 2 months ago | (1⭐) ماشفت اسلوب ولا تعاون من جميع الموظيفات  لا منهم ولا من المسؤولين ، اول شي ناس كذابه مرمطوني روحه وجيَّه على اساس في امل استبدال او يصلحونه  وخرطي والاسواره خربانه وتهز وجوده مخيسه والسعر غالي مايستاهل والمشرف على اساس صلحها ماسوا ولاشي وكذابين قالو لخدمة العملاء اني راضيه بعد التصليح وانا مارضيت ولا برضا واصلا ماصلحها ، يعني كذابين من كل الناحيتين  واللي اسمها مجدولين في كشك سيزون في العثيم مو متعاونه وماترد بدري واللي اسمها ميسون ام التسليك ولما وعدتني تساعدني ماسوت شي واطلب من تصور لي اشياء جميله تسوى اني ابدلَّها ماصورت الا عن بعد يحتاج لي مجهر عشان اشوف
من الاخير لا تشترون الا اذا عليه ضمان وبس - 6 months ago | (1⭐) اخذت من محل تابع لسيزون اسمه السماح جوارب بس الغريب مايظهر على قوقل ماب !
الجوده جداً سيئه ورديئه وغاليه على غير سنع ماتستاهل سعرها والله حسافه كل ريال فيها 👎🏻 - 7 months ago",سيزون للاكسسوارات _ العثيم مول - النسيم,N/A,N/A,N/A,store,"Dana free،، مدخل العثيم مول باب (1)، ، ،،, Riyadh 12839،،, Saudi Arabia"
136,MANGO,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
137,ثري تايمز,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
138,Zafi,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
139,بيت الرعب,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
140,Femi9فيمي,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
