name,category,location,reviews,rating,nationalPhoneNumber,opening_hours
K Fry,"korean_restaurant, restaurant, food, point_of_interest, establishment","Lot OB.K4, Oasis Boulevard, GF, Sunway Pyramid, 3, Jalan PJS 11/15, Bandar Sunway, 46150 Petaling Jaya, Selangor, Malaysia","review_rating:5, text:It was really good and quite similar with real Korean chicken. I thought the six pcs of boneless chicken will small portion but actually the portion was huge! 100% recommend! Must order anchovies rice ball! | review_rating:3, text:Alright this place absolutely deserves its stars , I was skeptical as anyone is with a new shop. But I decided to order and the service by Raesa was top tier for a busy fast food. As for food I was expecting the least but I was surprised by the flavor one of the best fried chicken in Malaysia (imho)soo crispy but juicy AND flavorful not too salty either. Would definitely visit again to try the other dishes on their menu. Note : I ordered the snow cheese spicy chicken (and the portion was massive). Keep up the service guys.

Editing this review because I have had an upset stomach after trying this place twice but didn’t expect really. | review_rating:5, text:Love the smell and the taste of the tuna rice ball! The cheesy bumbuk spicy tastes good as well but it's kinda too spicy for me as someone don't really can eat spicy.

The service was great! The waiter noticed that I didn't have a fork and bought one for me without me requesting it. | review_rating:5, text:Loved my experience here! First time here and loved the food. The waitress was kind enough to explain to us before we ordered our food. Very delicious! | review_rating:4, text:Service is consider top notch for an averagely priced restaurant in a shopping mall, the food is good, but I find that the fried chicken is a little bit lack of flavor, rice balls and japchae was really delicious, will definitely come back again for more.",4.9,+60 3-5612 0901,"Monday: 11:00 AM – 11:00 PM, Tuesday: 11:00 AM – 11:00 PM, Wednesday: 11:00 AM – 11:00 PM, Thursday: 11:00 AM – 11:00 PM, Friday: 11:00 AM – 11:00 PM, Saturday: 11:00 AM – 11:00 PM, Sunday: 11:00 AM – 11:00 PM"
Orange Concourse,subpremise,"Orange Concourse, Bandar Sunway, 47500 Subang Jaya, Selangor, Malaysia",No Reviews,N/A,N/A,N/A
Timberland,"clothing_store, store, point_of_interest, establishment","Sunway Pyramid Shopping Centre, Lot G, 1.30, Bandar Sunway, 46150 Petaling Jaya, Selangor, Malaysia","review_rating:5, text:This timberland store has shifted to another shop lot with a brand new store design. It is now more spacious and brighter than before. | review_rating:4, text:Friendly salesperson. Patient and detailed in his explanation.  Bought my first Timberland boots. | review_rating:5, text:I had the most wonderful shopping experience! First of all, I would like to note the friendliness of the staff. They greeted me from the doorway and asked me how I was doing and how they could help me. I was looking for a gift for my husband and Mr. Amirrudin helped me a lot in choosing a gift for my husband. Patiently and with a smile on his face, he showed me the product, helped me choose the size and I felt that he was not just trying to sell, but really trying to help me, which immediately bribed me! Instead of one thing, I bought three perfectly matched T-shirts. Mr. Amirrudin has high communication and customer-oriented skills! Thank him for his work! And also a very nice and friendly girl Nelfi, who helped me pay for all my purchases. I definitely recommend visiting this branch of Timberland to anyone who is looking for an attentive attitude towards themselves! | review_rating:1, text:Rude unprofessional sales person (male). Walk away in the middle of sales. Waited 10mins for him to comeback to handle the payment. Shoes brand new but full of scratches and loose thread, recommended to another branch with available stock but turn out shop closed down (midvalley). | review_rating:5, text:What a great service from TBL Pyramid staff!! Very knowledgable person, super friendly!! & u guys just made our day!! Happy to get a pair of Icon Yellow Boot with the protection too.
Recommended!!
5⭐️ U guys deserve it
Definitely would come back again to ur store 👍",3.8,+60 3-2302 3240,"Monday: 10:00 AM – 10:00 PM, Tuesday: 10:00 AM – 10:00 PM, Wednesday: 10:00 AM – 10:00 PM, Thursday: 10:00 AM – 10:00 PM, Friday: 10:00 AM – 10:00 PM, Saturday: 10:00 AM – 10:00 PM, Sunday: 10:00 AM – 10:00 PM"
Naelofar Hijab,"shopping_mall, point_of_interest, establishment","3, Jalan PJS 11/15, Bandar Sunway, 47500 Petaling Jaya, Selangor, Malaysia","review_rating:5, text:Very large. If I lived here, I would take a few months to even fully explore the place, much less try out all of the stores. Pretty fun, lots to eat and shop, so honestly it's worth living nearby. Food isn't very pricey so that's also a plus. | review_rating:4, text:As a frequent visitor, here’s my take on Sunway Pyramid:
•	Diverse Shopping: With a wide array of shops, it caters to all family members, from fashion to gadgets.
•	Family-Friendly Activities: The mall features an indoor ice-skating rink and a massive arcade that are perfect for kids and adults alike. My daughter loves to play at Parenthood. They have upgraded it too recently and we enjoyed it.
•	Food Haven: Offers an extensive selection of dining options from fast food to upscale restaurants. For Indian food you can try Mantra Restaurant (Not great but decent)
•	Convenient Layout: Despite its size, the mall is well-organized, making navigation easy.
•	Themed Decor: The Egyptian-inspired architecture adds a unique charm, making every visit memorable.

It is connected to Sunway Lagoon. | review_rating:5, text:Sunway Pyramid is truly a shopper’s paradise and a fantastic destination for entertainment, dining, and more. The mall is enormous, with a wide variety of stores ranging from luxury brands to affordable options. The unique Egyptian-themed architecture makes it stand out, creating a visually stunning experience as you explore. The food court offers an excellent selection of delicious cuisines, and there’s always something happening, from events to exciting attractions. The staff is friendly, and the facilities are well-maintained. A perfect place for a family outing or a day of shopping—highly recommend! | review_rating:5, text:Sunway Pyramid is truly a gem in the heart of the city! From the moment you step inside, you’re greeted with a vibrant atmosphere and an impressive array of shops, making it a perfect destination for shopping, dining, and entertainment. The mall is vast, with a wide variety of stores, from high-end fashion boutiques to trendy local brands, ensuring there’s something for everyone.

The design of the mall itself is stunning, with its iconic Egyptian-themed architecture adding a unique flair. The spacious layout makes it easy to navigate, and the many open areas and atriums offer a refreshing break from shopping.

What stands out the most is the variety of dining options. Whether you’re in the mood for casual bites or fine dining, Sunway Pyramid has it all. From international cuisines to local favorites, the food court and restaurants offer a delightful selection to suit any taste.

For entertainment, the options are just as diverse. Whether you’re catching the latest blockbuster at the cinema, having fun at the ice skating rink, or exploring the interactive attractions, there’s never a dull moment at this mall.

The staff are always friendly, and the overall experience is top-notch. Sunway Pyramid truly caters to every need, making it a perfect spot for family outings, friends’ gatherings, or solo trips. A place where shopping meets fun and excitement—highly recommend it! | review_rating:5, text:My visit to Sunway Pyramid was an incredible experience. This iconic shopping mall, with its distinctive pyramid-shaped exterior, offers a unique blend of shopping, dining, and entertainment. The vast array of stores includes both high-end brands and popular retail chains, catering to all tastes and budgets. The themed sections, like the Egyptian-inspired design, add an extra touch of excitement and novelty. We also had the chance to watch live ice hockey, which was an unexpected thrill! The mall is so large that we could only explore about a quarter of it in a day. The food court and various restaurants provide a diverse selection of cuisines. Whether you're shopping, dining, or enjoying the entertainment, Sunway Pyramid offers a vibrant and memorable experience 🛍️🍔🏰🏒",4.5,+60 3-7494 3100,"Monday: 10:00 AM – 10:00 PM, Tuesday: 10:00 AM – 10:00 PM, Wednesday: 10:00 AM – 10:00 PM, Thursday: 10:00 AM – 10:00 PM, Friday: 10:00 AM – 10:00 PM, Saturday: 10:00 AM – 10:00 PM, Sunday: 10:00 AM – 10:00 PM"
Ooppa,"wholesaler, store, health, point_of_interest, establishment","Lot LG1.128,Lower Ground 1, Sunway Pyramid Shopping Centre, LG1.128, No. 3, Jalan PJS 11/15, Bandar Sunway, 46150 Petaling Jaya, Selangor, Malaysia","review_rating:5, text:Went here right after an eye condition diagnosis. I was assisted by Mr Alan Yam and oh god, he was extremely helpful and dint push any sales more than what I was required.
Each and every single concern of mine was attended well and he was there, truout my one hour visit to make sure i am extremely satisfied with the frame I chose.

Definitely a to go place hereafter. | review_rating:5, text:Well stocked, well trained staff in a very humble shop in Sunway. When you're faced with competition from the other bigger chain specs stores, the only way to stand out is with customer service. And both Nelson and Izzah excel from start to finish.

During an initial visit, I tried on many different pairs and was attended to by Nelson, who politely and calmly helped me with my choices. But, I didn't get anything, thinking that I should look around first.

However, I didn't receive the same treatment elsewhere, even though I found something I really liked. And because of that, I went back to Oopa to get two pairs because of the service level.

The range that they have here may not be as much as others, but you feel really satisfied spending your money here for the service and care that's shown as a customer - and that's priceless.

Keep up the good work! | review_rating:5, text:I was served by Izzah. She was very attentive to my needs and actually provided good recommendations for my frame and lens. I found the whole experience very relaxed and easy-going so would definitely recommend this to my friends. | review_rating:5, text:I recently visited this spec shop and was thoroughly impressed by the excellent service I received. The staff were incredibly knowledgeable and helpful, guiding me through the selection process with ease. They took the time to understand my needs and preferences, ensuring I found the perfect pair of specs.
The quality of the products is top-notch, and the overall experience was seamless.

I highly recommend this shop to anyone in need of new specs or eyewear.

Kudos to Ms Izzah Tajul, Maryam.

Five stars all the way! | review_rating:5, text:I bought two glasses at this store and Izzah was very patient and attentive with my questions and the glasses preference. She explained really well on the lenses and as well was very accommodating for the frames choices as I was really contemplating with the designs. Please get izzah for assistance needed because she’s very helpful, friendly and nice!",4.6,+60 16-223 6232,"Monday: 10:00 AM – 10:00 PM, Tuesday: 10:00 AM – 10:00 PM, Wednesday: 10:00 AM – 10:00 PM, Thursday: 10:00 AM – 10:00 PM, Friday: 10:00 AM – 10:00 PM, Saturday: 10:00 AM – 10:00 PM, Sunday: 10:00 AM – 10:00 PM"
Samsonite Workpack,"store, point_of_interest, establishment","Lot: F1.58 Sunway Pyramid Shopping Center, Jalan PJS 11/15, Bandar Sunway, 45610 Petaling Jaya, Selangor, Malaysia","review_rating:5, text:Work kosong",5,+60 3-5612 6257,"Monday: 10:00 AM – 10:00 PM, Tuesday: 10:00 AM – 10:00 PM, Wednesday: 10:00 AM – 10:00 PM, Thursday: 10:00 AM – 10:00 PM, Friday: 10:00 AM – 10:00 PM, Saturday: 10:00 AM – 10:00 PM, Sunday: 10:00 AM – 10:00 PM"
Oppo,"cell_phone_store, store, point_of_interest, establishment","F1.30-1.31, SUNWAY PYRAMID, Jalan PJS 11/15, Bandar Sunway, 47500 Petaling Jaya, Selangor, Malaysia","review_rating:5, text:Helpful staff, very friendly and patient. Thank you so much for amazing customer service! 100% to come here, got new season price sales on the phones. Xo | review_rating:5, text:Amri was really helpful and efficient to address our enquiries and help us making our minds. The service was polite and his patient approach was very comforting.  👍✔️👌 He deserves a pat on the shoulder. | review_rating:5, text:The service rendered were top notch... Rex made all the effort to make the whole buying process so comfortable. Keep it up Rex! Keep it up OPPO. Thanks you | review_rating:5, text:TQ Mr Azri.
For his good personality n services.
Friendly n helpful.
This is my 2nd phone, I bought thru him.
Would recommend my friends and others to him,or this outlet. | review_rating:5, text:Very professional and well-mannered especially the staff member Rex, who helped me set up my new phone. Would recommend to others.",5,+60 11-3304 6776,"Monday: 10:00 AM – 10:00 PM, Tuesday: 10:00 AM – 10:00 PM, Wednesday: 10:00 AM – 10:00 PM, Thursday: 10:00 AM – 10:00 PM, Friday: 10:00 AM – 10:00 PM, Saturday: 10:00 AM – 10:00 PM, Sunday: 10:00 AM – 10:00 PM"
Body Perfect,"beauty_salon, point_of_interest, establishment","Unit SPWLG1.01, Lower Ground One, West 3, Sunway Pyramid, Jalan PJS 11/15, Bandar Sunway, 46150 Petaling Jaya, Selangor, Malaysia","review_rating:5, text:The onsen experience at Body Perfect (ONLY FOR FEMALE)offers true authenticity, with mineral-rich waters imported directly from Japan, allowing us to enjoy the essence of traditional Japanese hot springs without leaving our city.

We had the opportunity to experience an invigorating icy-cold onsen at 9°C, soaking just one leg in was enough to make me shiver and go numb! I can't imagine fully submerging my entire body. To maximize the benefits, it's essential to follow the correct sequence, and thanks to Cyrus, the beauty manager, we learned how to do it properly. Otherwise, we might have just jumped straight into the pool without knowing what’s best! 😜

Next, we proceeded through three hot onsen pools in sequence:

1️⃣ Skin Renewal Micro Nano Bubble Onsen (36°C)
🇯🇵 Deep cleanses and provides anti-aging benefits. This was our favorite, as our skin felt incredibly smooth while soaking in the pool.

2️⃣ Revitalizing Hydroluxe Therapy Onsen (38°C)
🇯🇵 Oxygenates the skin and muscles, allowing the skin to ""breathe"" better. According to Cyrus, this pool is perfect for my partner, as her youthful skin benefits from the oxygenation, keeping it supple and radiant.

3️⃣ Detoxifying Salt Onsen (40°C)
🇯🇵 Restores the skin’s natural glow. As per Cyrus’ advice, this pool was best suited for me, especially considering my age and muscle strain in my shoulders. It helped relieve deep muscle tension and provided much-needed relaxation.

Gradually increasing the temperature allows the body to adjust safely, preventing dizziness or discomfort that may occur due to sudden temperature changes.

Throughout our experience, Jane, the attentive attendant, ensured we were well taken care of. She even noticed I was wearing a necklace and kindly reminded me to remove it, as the heat could cause discomfort when wearing gold. 👍

Finally, after a 5 minute rest, we moved on to the Volcanic Himalayan Salt Sauna Room, which was another new and exciting experience. The walls were beautifully designed with volcanic Himalayan salt, known for its relaxation and respiratory health benefits, including relief for sinus issues.

Inside the sauna, there were two levels of benches. We started on the lower bench with milder heat before moving to the upper bench, where the intensity increased. The moment I sat on the second bench, sweat immediately started dripping from my forehead and neck, such an invigorating detox!

Overall, I truly loved my experience here with my niece. Body Perfect is a trusted, government-recognized brand, ensuring peace of mind with proper documentation and signatures to protect both parties throughout the procedure. This added an extra layer of trust to the entire journey.

A heartfelt thank you to Sunway Pyramid and Body Perfect Aesthetic & Wellness for giving me a whole new level of relaxation, an experience I can continue to enjoy, even after returning from my recent Japan trip!

P/S: You don't need to worry hearing the word ""Onsen"", they do provide disposable bra and panty ya. Kind of certain transparency but still rather than nothing right? 😂 And psst..they provide other 100 type of services(facial,slimming, wellness, women care,etc) which you may try out. Body perfect is newly opened on Dec 2024. Moved from Sphinx Sunway Pyramid ( more than 15 years operating here) | review_rating:5, text:First Onsen experience. Complimentary by Sunway. Professional Cryus explain and introduce to us before we start our Onsen. Great experience for me and my friend especially the 9° pool. Hope next time will have chance to come back again. Hopefully can improve on the disposable bra and panty, with thicker cloths. Thank you Body Perfect. | review_rating:5, text:beautiful spa land, had chance to try out the onsen + cold plunge, followed by a facial. the onsen is beautifully crafted with 3 different heated onsen and also a sauna with salt rock walls. it was a wonderful experience thank you to Jane, Cyrus, and Candy. highly recommend anyone looking for a spa day. | review_rating:4, text:Amazing place to relax !! The frontdesk staffs gave us warmest welcome and serve us with welcome drink. Cyrus was our beauty advisor and Jane assist us all the time during our onsen experience. Feel relaxed after and totally enjoyed the session. | review_rating:5, text:Body Perfect Sunway Pyramid has been my go-to spa for over 10 years! The staff is incredibly nice and attentive… they have recently moved to a new location within the same mall, and the new setup is absolutely stunning.

Highly recommend!",4.9,+60 3-5650 5160,"Monday: 10:00 AM – 9:00 PM, Tuesday: 10:00 AM – 9:00 PM, Wednesday: 10:00 AM – 9:00 PM, Thursday: 10:00 AM – 9:00 PM, Friday: 10:00 AM – 9:00 PM, Saturday: 9:00 AM – 6:00 PM, Sunday: 9:00 AM – 6:00 PM"
Madam Kwan's,"restaurant, point_of_interest, food, establishment","Lot LG1.47, Lower Ground 1, Sunway Pyramid Shopping Mall, 3, Jalan PJS 11/15, Bandar Sunway, 47500 Petaling Jaya, Selangor, Malaysia","review_rating:1, text:I have dinner at this restaurant and dissatisfied regarding the time after order the food. It take very long time for them to serve. Second point is the Asam fish head not fresh for the fish head. Got one smell, and the fish got a lot of scale. The only the I feel is nice is the coconut rice smells good and taste delicious. This is the thing you can try.
Overall this visit is unpleasant. Cause other table already serving and we keep waiting almost 40/45 mins. We order around 9 dishes, yet nothing come first. Till we complain with the waiter only one of the ladies apologise. In the end there is a guy waiter who see us very unhappy and provide us the desert cendol. Lastly this waiter guy good and smart help us cancel the two dish , cause other food we eat till 80/90% finish. Still hope they could improve in future. Cause other outlet so far didn’t have this issue. 💪 | review_rating:4, text:Taste is subjective. Tried ordering online & struggled. Thankfully waitress was helpful. Had the Cantonese fried beef noodle RM 24.90 & local ice coffee white RM 7.50. plus 10% + 6%.
I was expecting tough beef but it was nice & tender & piping hot. Coffee was nice to complete the meal. Good crowd helped me decide where to eat. | review_rating:4, text:This is my second time dining at this outlet, and the food here continues to be the best compared to all the other outlets. We had dumpling soup, glass noodles with soft shell crab and otak-otak fried rice.

The dumpling soup is a delightful blend of flavours and textures. The minced prawn and chicken filling in the dumplings is succulent and well seasoned, providing a savoury bite with each spoonful. The broth is light yet flavourful, perfectly complementing the dumplings.

The claypot glass noodles with soft shell crab is a dish that truly standout. The glass noodles are stir fried in dark soy sauce, giving them a rich and umami flavour. The highlight, of course, is the soft shell crab, which is cooked to perfection. The crab is crispy on the outside and juicy on the inside, adding a delightful crunch to the dish. The combination of textures and flavours makes this a must try.

Lastly, the otak-otak fried rice is a unique and flavourful dish. The rice is perfectly cooked and infused with the distinct taste of otak-otak, a special fish cake. The dish is well balanced and not overly spicy, making it enjoyable for a wide range of palates. It’s a creative twist on traditional fried rice that is sure to impress. | review_rating:5, text:You must dine at Madam Kwan’s at Sunway Pyramid. The Satay is the best i have tasted in my lifetime! Madam Kwan has perfected her Satay with the juiciest and perfect satay marinade and the satay sauce is also the best in terms of taste and consistency. Madam Kwan’s Salted Fish Fried Rice is to die for. Its very rich in flavour, moist and the bits of salted fish is so crunchy and they do not stinge on it. There are even toppings of ikan bilis. We just had to order a second plate of the Salted Fish Fried Rice ! The Nasi Bojari is also the best so far. These dishes were recommended by their staff Ika who is very  friendly and her customer service is unparalleled!  We ended our meal with another recommendation by Ika - Fritters with Ice Cream. The batter was just right, light and tasty and the banana wasn’t sweet and was complimented very well with the vanilla ice cream. Well done Madam Kwan ! | review_rating:5, text:I can't lie about Madan Kwan's food—it's excellent as usual. I have nothing to complain about regarding the food; however, it was my first time visiting the Sunway Pyramid branch over the weekend, and the service was not as expected. It was much worse than I anticipated. I had to call the staff for everything, including utensils, plates, and even coffee, which was served with out sugar! I had to reach out multiple times for assistance. I hope they can improve this aspect of their service.",4.3,+60 3-5622 2397,"Monday: 10:00 AM – 10:30 PM, Tuesday: 10:00 AM – 10:30 PM, Wednesday: 10:00 AM – 10:30 PM, Thursday: 10:00 AM – 10:30 PM, Friday: 10:00 AM – 10:30 PM, Saturday: 10:00 AM – 10:30 PM, Sunday: 10:00 AM – 10:30 PM"
Childhood,"bakery, confectionery, food_store, store, point_of_interest, food, establishment","LG 2, 76, Jalan PJS 11/15, Sunway Mentari, 47500 Petaling Jaya, Selangor, Malaysia","review_rating:3, text:Small store at LG floor of Sunway Pyramid shopping mall. They are selling all kind of items from the past, which reminds of childhood memories. You can find candies, cookies, pastries, toys, etc here. Items price slightly higher side.

The place has great interior design with nice decorations all over the store. The design & decorations will remind us of old times. The store is clean, bright and well maintained. Items were well arranged and displayed.

Staffs were not that friendly, as they keep staring at customer even when we are window shopping, looking at the items in the store. They were also gossiping about customers, which gave bad impression about the store. | review_rating:1, text:I bought a kaya ball from here and I found a stapler after I bite into it. If I swallowed the stapler, it could have gotten worse. I asked the staff where is the boss and they said “they don’t know the boss” so I called the customer service number posted in the store, but it was a wrong number. So I went online and went to their official website. No one answers the number in the website. I will really get a lawyer and sue if no one deals with this matter. | review_rating:4, text:This shop sells retro toys, food, games and more. We bought some traditional biscuits here which tastes good. A good place to find nostalgic items. | review_rating:3, text:Traditional confectionery at high end prices. Some of the products are stale. | review_rating:1, text:This shop looks good at the first glance despite the overpriced goods, until we see the unpleasant scene of DYING and DEAD FISH kept in the filthy water bottles. If you are not going to take care of them or ask your staff to take care of them and just using the fishes as nostalgic decoration, you’re outright cruel. By no means people with conscience will support your business. Please start taking care of the fish or else pass it to someone who will.

Will never enter this shop again.",2.9,N/A,"Monday: 10:00 AM – 10:00 PM, Tuesday: 10:00 AM – 10:00 PM, Wednesday: 10:00 AM – 10:00 PM, Thursday: 10:00 AM – 10:00 PM, Friday: 10:00 AM – 10:00 PM, Saturday: 10:00 AM – 10:00 PM, Sunday: 10:00 AM – 10:00 PM"
Li-Ning Badminton,"shopping_mall, point_of_interest, establishment","3, Jalan PJS 11/15, Bandar Sunway, 47500 Petaling Jaya, Selangor, Malaysia","review_rating:5, text:Very large. If I lived here, I would take a few months to even fully explore the place, much less try out all of the stores. Pretty fun, lots to eat and shop, so honestly it's worth living nearby. Food isn't very pricey so that's also a plus. | review_rating:4, text:As a frequent visitor, here’s my take on Sunway Pyramid:
•	Diverse Shopping: With a wide array of shops, it caters to all family members, from fashion to gadgets.
•	Family-Friendly Activities: The mall features an indoor ice-skating rink and a massive arcade that are perfect for kids and adults alike. My daughter loves to play at Parenthood. They have upgraded it too recently and we enjoyed it.
•	Food Haven: Offers an extensive selection of dining options from fast food to upscale restaurants. For Indian food you can try Mantra Restaurant (Not great but decent)
•	Convenient Layout: Despite its size, the mall is well-organized, making navigation easy.
•	Themed Decor: The Egyptian-inspired architecture adds a unique charm, making every visit memorable.

It is connected to Sunway Lagoon. | review_rating:5, text:Sunway Pyramid is truly a shopper’s paradise and a fantastic destination for entertainment, dining, and more. The mall is enormous, with a wide variety of stores ranging from luxury brands to affordable options. The unique Egyptian-themed architecture makes it stand out, creating a visually stunning experience as you explore. The food court offers an excellent selection of delicious cuisines, and there’s always something happening, from events to exciting attractions. The staff is friendly, and the facilities are well-maintained. A perfect place for a family outing or a day of shopping—highly recommend! | review_rating:5, text:Sunway Pyramid is truly a gem in the heart of the city! From the moment you step inside, you’re greeted with a vibrant atmosphere and an impressive array of shops, making it a perfect destination for shopping, dining, and entertainment. The mall is vast, with a wide variety of stores, from high-end fashion boutiques to trendy local brands, ensuring there’s something for everyone.

The design of the mall itself is stunning, with its iconic Egyptian-themed architecture adding a unique flair. The spacious layout makes it easy to navigate, and the many open areas and atriums offer a refreshing break from shopping.

What stands out the most is the variety of dining options. Whether you’re in the mood for casual bites or fine dining, Sunway Pyramid has it all. From international cuisines to local favorites, the food court and restaurants offer a delightful selection to suit any taste.

For entertainment, the options are just as diverse. Whether you’re catching the latest blockbuster at the cinema, having fun at the ice skating rink, or exploring the interactive attractions, there’s never a dull moment at this mall.

The staff are always friendly, and the overall experience is top-notch. Sunway Pyramid truly caters to every need, making it a perfect spot for family outings, friends’ gatherings, or solo trips. A place where shopping meets fun and excitement—highly recommend it! | review_rating:5, text:My visit to Sunway Pyramid was an incredible experience. This iconic shopping mall, with its distinctive pyramid-shaped exterior, offers a unique blend of shopping, dining, and entertainment. The vast array of stores includes both high-end brands and popular retail chains, catering to all tastes and budgets. The themed sections, like the Egyptian-inspired design, add an extra touch of excitement and novelty. We also had the chance to watch live ice hockey, which was an unexpected thrill! The mall is so large that we could only explore about a quarter of it in a day. The food court and various restaurants provide a diverse selection of cuisines. Whether you're shopping, dining, or enjoying the entertainment, Sunway Pyramid offers a vibrant and memorable experience 🛍️🍔🏰🏒",4.5,+60 3-7494 3100,"Monday: 10:00 AM – 10:00 PM, Tuesday: 10:00 AM – 10:00 PM, Wednesday: 10:00 AM – 10:00 PM, Thursday: 10:00 AM – 10:00 PM, Friday: 10:00 AM – 10:00 PM, Saturday: 10:00 AM – 10:00 PM, Sunday: 10:00 AM – 10:00 PM"
Love & Co,"jewelry_store, store, point_of_interest, establishment","G1.75, 3, Jalan PJS 11/15, Bandar Sunway, 47500 Petaling Jaya, Selangor, Malaysia","review_rating:5, text:Got our wedding band here. Simple and elegant design, great service provided by Angel 👍🏻👍🏻 | review_rating:5, text:This is my first time buying gold for bro & sis in law wedding. I went to numerous shop but in the end still decided to choose Love&Co. Eric is super attentive and detailed and friendly in explaining and showing all the design they have. When he saw me coughing badly, he even offered water. This is what being customer centric is so matter to a customer experience. Well done Eric! Thank you😊 | review_rating:5, text:Amber very professional and friendly throughout the entire process. Good job, good service 👍🏻 | review_rating:5, text:Bought our wedding ring at Sunway branch and served by Ms Angel Ho! Very helpful and patient to help us, and also a male salesman but sry I couldn’t remember his name. Thank you so much for the kind service🙏🏻 | review_rating:5, text:My partner and I came here for wedding bands and were assisted by Eric Khoo. He was very professional and friendly throughout the entire process. We finally got the wedding bands that we truly loved.",4.9,+60 3-5613 0633,"Monday: 10:00 AM – 10:00 PM, Tuesday: 10:00 AM – 10:00 PM, Wednesday: 10:00 AM – 10:00 PM, Thursday: 10:00 AM – 10:00 PM, Friday: 10:00 AM – 10:00 PM, Saturday: 10:00 AM – 10:00 PM, Sunday: 10:00 AM – 10:00 PM"
Boost Juice Bars,"shopping_mall, point_of_interest, establishment","3, Jalan PJS 11/15, Bandar Sunway, 47500 Petaling Jaya, Selangor, Malaysia","review_rating:5, text:Very large. If I lived here, I would take a few months to even fully explore the place, much less try out all of the stores. Pretty fun, lots to eat and shop, so honestly it's worth living nearby. Food isn't very pricey so that's also a plus. | review_rating:4, text:As a frequent visitor, here’s my take on Sunway Pyramid:
•	Diverse Shopping: With a wide array of shops, it caters to all family members, from fashion to gadgets.
•	Family-Friendly Activities: The mall features an indoor ice-skating rink and a massive arcade that are perfect for kids and adults alike. My daughter loves to play at Parenthood. They have upgraded it too recently and we enjoyed it.
•	Food Haven: Offers an extensive selection of dining options from fast food to upscale restaurants. For Indian food you can try Mantra Restaurant (Not great but decent)
•	Convenient Layout: Despite its size, the mall is well-organized, making navigation easy.
•	Themed Decor: The Egyptian-inspired architecture adds a unique charm, making every visit memorable.

It is connected to Sunway Lagoon. | review_rating:5, text:Sunway Pyramid is truly a shopper’s paradise and a fantastic destination for entertainment, dining, and more. The mall is enormous, with a wide variety of stores ranging from luxury brands to affordable options. The unique Egyptian-themed architecture makes it stand out, creating a visually stunning experience as you explore. The food court offers an excellent selection of delicious cuisines, and there’s always something happening, from events to exciting attractions. The staff is friendly, and the facilities are well-maintained. A perfect place for a family outing or a day of shopping—highly recommend! | review_rating:5, text:Sunway Pyramid is truly a gem in the heart of the city! From the moment you step inside, you’re greeted with a vibrant atmosphere and an impressive array of shops, making it a perfect destination for shopping, dining, and entertainment. The mall is vast, with a wide variety of stores, from high-end fashion boutiques to trendy local brands, ensuring there’s something for everyone.

The design of the mall itself is stunning, with its iconic Egyptian-themed architecture adding a unique flair. The spacious layout makes it easy to navigate, and the many open areas and atriums offer a refreshing break from shopping.

What stands out the most is the variety of dining options. Whether you’re in the mood for casual bites or fine dining, Sunway Pyramid has it all. From international cuisines to local favorites, the food court and restaurants offer a delightful selection to suit any taste.

For entertainment, the options are just as diverse. Whether you’re catching the latest blockbuster at the cinema, having fun at the ice skating rink, or exploring the interactive attractions, there’s never a dull moment at this mall.

The staff are always friendly, and the overall experience is top-notch. Sunway Pyramid truly caters to every need, making it a perfect spot for family outings, friends’ gatherings, or solo trips. A place where shopping meets fun and excitement—highly recommend it! | review_rating:5, text:My visit to Sunway Pyramid was an incredible experience. This iconic shopping mall, with its distinctive pyramid-shaped exterior, offers a unique blend of shopping, dining, and entertainment. The vast array of stores includes both high-end brands and popular retail chains, catering to all tastes and budgets. The themed sections, like the Egyptian-inspired design, add an extra touch of excitement and novelty. We also had the chance to watch live ice hockey, which was an unexpected thrill! The mall is so large that we could only explore about a quarter of it in a day. The food court and various restaurants provide a diverse selection of cuisines. Whether you're shopping, dining, or enjoying the entertainment, Sunway Pyramid offers a vibrant and memorable experience 🛍️🍔🏰🏒",4.5,+60 3-7494 3100,"Monday: 10:00 AM – 10:00 PM, Tuesday: 10:00 AM – 10:00 PM, Wednesday: 10:00 AM – 10:00 PM, Thursday: 10:00 AM – 10:00 PM, Friday: 10:00 AM – 10:00 PM, Saturday: 10:00 AM – 10:00 PM, Sunday: 10:00 AM – 10:00 PM"
